Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2010-10-27,21-225,LAC,,POR,L (-10),1,38:36,8,14,.571,0,0,,4,6,.667,9,5,14,4,1,0,2,4,20,20.6,-9
2,2,2010-10-29,21-227,LAC,@,GSW,L (-18),1,29:13,6,14,.429,0,0,,2,5,.400,6,4,10,3,1,0,4,5,14,7.9,-20
3,3,2010-10-31,21-229,LAC,,DAL,L (-16),1,32:19,4,15,.267,0,1,.000,8,12,.667,4,5,9,0,2,0,3,2,16,8.0,-27
4,4,2010-11-01,21-230,LAC,,SAS,L (-9),1,39:01,7,13,.538,0,0,,3,7,.429,2,6,8,1,0,1,1,1,17,12.3,-2
5,5,2010-11-03,21-232,LAC,,OKC,W (+15),1,32:26,7,12,.583,0,0,,4,10,.400,4,5,9,0,0,0,2,2,18,11.5,-2
6,6,2010-11-05,21-234,LAC,@,DEN,L (-7),1,33:34,11,18,.611,0,0,,4,4,1.000,5,5,10,3,0,0,1,1,26,23.5,-5
7,7,2010-11-06,21-235,LAC,@,UTA,L (-2),1,36:59,5,10,.500,0,0,,6,8,.750,3,14,17,2,1,0,5,6,16,11.5,+8
8,8,2010-11-09,21-238,LAC,@,NOH,L (-19),1,30:06,4,9,.444,0,0,,2,3,.667,1,5,6,0,0,0,1,4,10,4.5,-26
9,9,2010-11-10,21-239,LAC,@,SAS,L (-12),1,38:12,5,18,.278,0,0,,1,2,.500,2,6,8,3,3,1,2,1,11,6.6,-15
10,10,2010-11-12,21-241,LAC,,DET,L (-6),1,43:44,8,15,.533,0,0,,2,5,.400,2,16,18,4,1,2,3,4,18,16.3,-10
11,11,2010-11-15,21-244,LAC,,NJN,L (-14),1,30:01,5,8,.625,0,0,,1,4,.250,3,0,3,1,0,0,3,5,11,4.0,-18
12,12,2010-11-17,21-246,LAC,@,MIN,L (-2),1,36:43,12,22,.545,0,0,,2,5,.400,7,10,17,2,0,0,2,3,26,20.3,-5
13,13,2010-11-18,21-247,LAC,@,IND,L (-27),1,29:09,6,13,.462,0,0,,0,3,.000,2,6,8,0,0,0,1,0,12,6.3,-10
14,14,2010-11-20,21-249,LAC,,NYK,L (-9),1,38:55,14,24,.583,0,0,,16,23,.696,4,11,15,7,2,1,4,4,44,38.1,-13
15,15,2010-11-22,21-251,LAC,,NOH,W (+4),1,38:33,9,15,.600,0,0,,6,14,.429,4,9,13,4,0,2,2,2,24,20.8,+10
16,16,2010-11-25,21-254,LAC,,SAC,W (+18),1,35:08,7,11,.636,0,0,,11,15,.733,4,11,15,5,1,0,4,4,25,23.5,+21
17,17,2010-11-26,21-255,LAC,@,PHO,L (-8),1,37:28,9,17,.529,0,0,,2,4,.500,1,13,14,1,0,2,3,2,20,13.8,-8
18,18,2010-11-28,21-257,LAC,,UTA,L (-12),1,39:06,13,21,.619,0,0,,9,12,.750,5,9,14,7,0,0,4,2,35,30.6,-6
19,19,2010-12-01,21-260,LAC,,SAS,W (+5),1,39:48,14,21,.667,0,0,,3,6,.500,3,10,13,4,2,1,3,2,31,27.5,+7
20,20,2010-12-03,21-262,LAC,@,DEN,L (-5),1,40:51,7,18,.389,0,0,,3,5,.600,3,9,12,3,0,2,5,5,17,7.7,-1
