Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
74,74,2014-03-29,25-013,LAC,@,HOU,W (+11),1,6:11,2,3,.667,0,0,,3,3,1.000,0,1,1,1,0,1,0,1,7,7.0,-6
75,,2014-03-31,25-015,LAC,@,MIN,W (+10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
76,75,2014-04-02,25-017,LAC,@,PHO,W (+4),1,33:42,7,15,.467,0,0,,9,10,.900,4,2,6,3,1,0,3,3,23,17.2,-6
77,76,2014-04-03,25-018,LAC,,DAL,L (-6),1,39:39,9,23,.391,0,0,,7,7,1.000,4,6,10,11,1,1,1,5,25,23.5,-5
78,77,2014-04-06,25-021,LAC,,LAL,W (+23),1,30:47,7,14,.500,0,0,,9,13,.692,0,7,7,6,3,0,3,3,23,19.5,+24
79,78,2014-04-09,25-024,LAC,,OKC,L (-6),1,39:11,11,23,.478,0,1,.000,8,11,.727,5,7,12,1,0,0,3,4,30,18.8,-6
80,79,2014-04-12,25-027,LAC,,SAC,W (+16),1,36:29,9,15,.600,1,2,.500,8,9,.889,0,4,4,9,2,1,2,4,27,26.3,+19
81,80,2014-04-15,25-030,LAC,,DEN,W (+12),1,29:33,9,17,.529,0,1,.000,6,6,1.000,0,5,5,4,2,1,3,1,24,19.3,+6
1,1,2014-10-30,25-228,LAC,,OKC,W (+3),1,38:27,8,18,.444,0,0,,7,10,.700,5,2,7,3,1,0,3,6,23,14.2,-5
2,2,2014-10-31,25-229,LAC,@,LAL,W (+7),1,38:54,13,23,.565,2,2,1.000,11,12,.917,1,6,7,4,0,0,5,4,39,26.4,+5
3,3,2014-11-02,25-231,LAC,,SAC,L (-6),1,38:08,6,20,.300,0,1,.000,5,8,.625,5,3,8,4,0,1,2,4,17,8.5,-15
4,4,2014-11-03,25-232,LAC,,UTA,W (+6),1,38:27,14,21,.667,0,0,,3,4,.750,1,8,9,4,0,2,1,3,31,26.6,+7
5,5,2014-11-05,25-234,LAC,@,GSW,L (-17),1,31:18,7,15,.467,0,0,,0,1,.000,0,1,1,1,0,0,2,2,14,4.1,-23
6,6,2014-11-08,25-237,LAC,,POR,W (+4),1,35:14,8,24,.333,0,0,,7,8,.875,2,4,6,3,0,0,1,3,23,11.5,-6
7,7,2014-11-10,25-239,LAC,,SAS,L (-4),1,37:09,9,17,.529,0,0,,5,7,.714,3,7,10,6,1,0,3,3,23,19.1,-15
8,8,2014-11-15,25-244,LAC,,PHO,W (+13),1,31:54,7,12,.583,0,0,,5,8,.625,0,8,8,4,1,1,4,5,19,13.1,+26
9,9,2014-11-17,25-246,LAC,,CHI,L (-16),1,36:39,7,15,.467,0,1,.000,5,10,.500,4,6,10,4,0,0,5,3,19,10.5,-24
10,10,2014-11-19,25-248,LAC,@,ORL,W (+24),1,30:12,8,18,.444,0,0,,4,6,.667,0,4,4,2,0,0,1,1,20,11.0,+12
11,11,2014-11-20,25-249,LAC,@,MIA,W (+17),1,29:59,12,18,.667,1,2,.500,1,3,.333,2,5,7,4,3,0,0,3,26,24.9,+31
12,12,2014-11-23,25-252,LAC,@,MEM,L (-16),1,33:26,5,17,.294,0,0,,2,4,.500,1,3,4,3,1,0,4,3,12,0.8,-18
13,13,2014-11-24,25-253,LAC,@,CHO,W (+21),1,38:24,10,23,.435,0,0,,2,3,.667,5,11,16,9,0,0,2,3,22,19.4,+31
